,edit_count,sentiment-mean,neg-sentiment
2009-11-25,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-26,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-27,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-28,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-29,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-30,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-12-01,3.2333333333333334,0.022632416778322118,0.2601323453047591
2009-12-02,3.3,-0.010385890112801333,0.2934656786380925
2009-12-03,3.433333333333333,0.020683611624952216,0.2934656786380925
2009-12-04,3.466666666666667,0.007823890970994427,0.299021234193648
2009-12-05,3.4,-0.02014514850889703,0.299021234193648
2009-12-06,3.066666666666667,-0.0427034339449567,0.31098704615945993
